OBJECTID,ID,risk,predict_risk
515,13317,0,0
516,13319,0,0
517,13321,0,0
518,16001,1,0
519,16003,1,1
520,16005,1,1
521,16007,0,0
522,16009,0,0
523,16011,0,0
524,16013,0,0
525,16015,1,1
526,16017,0,0
527,16019,0,0
528,16021,0,0
529,16023,0,0
530,16025,0,0
531,16027,-1,-1
532,16029,0,0
533,16031,1,0
534,16033,0,0
535,16035,1,1
536,16037,0,0
537,16039,1,1
538,16041,0,0
539,16043,0,0
540,16045,1,1
541,16047,0,0
542,16049,1,1
543,16051,0,0
544,16053,0,0
545,16055,0,0
546,16057,0,0
547,16059,0,0
548,16061,0,0
549,16063,1,1
550,16065,-1,-1
551,16067,0,0
552,16069,0,0
553,16071,1,1
554,16073,1,1
555,16075,0,0
556,16077,0,0
557,16079,1,1
558,16081,0,0
559,16083,1,0
560,16085,1,1
561,16087,1,0
562,17001,-1,-1
563,17003,-1,-1
564,17005,-1,-1
565,17007,-1,-1
566,17009,-1,-1
567,17011,-1,-1
568,17013,-1,-1
569,17015,-1,-1
570,17017,-1,-1
571,17019,-1,-1
572,17021,-1,-1
573,17023,-1,-1
574,17025,-1,-1
575,17027,-1,-1
576,17029,-1,-1
577,17031,-1,-1
578,17033,-1,-1
579,17035,-1,-1
580,17037,-1,-1
581,17039,-1,-1
582,17041,-1,-1
583,17043,-1,-1
584,17045,-1,-1
585,17047,-1,-1
586,17049,-1,-1
587,17051,-1,-1
588,17053,-1,-1
589,17055,-1,-1
590,17057,-1,-1
591,17059,-1,-1
592,17061,-1,-1
593,17063,-1,-1
594,17065,-1,-1
595,17067,-1,-1
596,17069,-1,-1
597,17071,-1,-1
598,17073,-1,-1
599,17075,-1,-1
600,17077,-1,-1
601,17079,-1,-1
602,17081,-1,-1
603,17083,-1,-1
604,17085,-1,-1
605,17087,-1,-1
606,17089,-1,-1
607,17091,-1,-1
608,17093,-1,-1
609,17095,-1,-1
610,17097,-1,-1
611,17099,-1,-1
612,17101,-1,-1
613,17103,-1,-1
614,17105,-1,-1
615,17107,-1,-1
616,17109,-1,-1
617,17111,-1,-1
618,17113,-1,-1
619,17115,-1,-1
620,17117,-1,-1
621,17119,-1,-1
622,17121,-1,-1
623,17123,-1,-1
624,17125,-1,-1
625,17127,-1,-1
626,17129,-1,-1
627,17131,-1,-1
628,17133,-1,-1
629,17135,-1,-1
630,17137,-1,-1
631,17139,-1,-1
632,17141,-1,-1
633,17143,-1,-1
634,17145,-1,-1
635,17147,-1,-1
636,17149,-1,-1
637,17151,0,0
638,17153,-1,-1
639,17155,-1,-1
640,17157,-1,-1
641,17159,-1,-1
642,17161,-1,-1
643,17163,-1,-1
644,17165,-1,-1
645,17167,-1,-1
646,17169,-1,-1
647,17171,-1,-1
648,17173,-1,-1
649,17175,-1,-1
650,17177,-1,-1
651,17179,-1,-1
652,17181,-1,-1
653,17183,-1,-1
654,17185,-1,-1
655,17187,-1,-1
656,17189,-1,-1
657,17191,-1,-1
658,17193,-1,-1
659,17195,-1,-1
660,17197,-1,-1
661,17199,-1,-1
662,17201,-1,-1
663,17203,-1,-1
664,18001,-1,-1
665,18003,-1,-1
666,18005,-1,-1
667,18007,-1,-1
668,18009,-1,-1
669,18011,-1,-1
670,18013,-1,-1
671,18015,-1,-1
672,18017,-1,-1
673,18019,-1,-1
674,18021,-1,-1
675,18023,-1,-1
676,18025,-1,-1
677,18027,-1,-1
678,18029,-1,-1
679,18031,-1,-1
680,18033,-1,-1
681,18035,-1,-1
682,18037,-1,-1
683,18039,-1,-1
684,18041,-1,-1
685,18043,-1,-1
686,18045,-1,-1
687,18047,-1,-1
688,18049,-1,-1
689,18051,-1,-1
690,18053,-1,-1
691,18055,-1,-1
692,18057,-1,-1
693,18059,-1,-1
694,18061,-1,-1
695,18063,-1,-1
696,18065,-1,-1
697,18067,-1,-1
698,18069,-1,-1
699,18071,-1,-1
700,18073,-1,-1
701,18075,-1,-1
702,18077,-1,-1
703,18079,-1,-1
704,18081,-1,-1
705,18083,-1,-1
706,18085,-1,-1
707,18087,-1,-1
708,18089,-1,-1
709,18091,-1,-1
710,18093,-1,-1
711,18095,-1,-1
712,18097,-1,-1
713,18099,-1,-1
714,18101,-1,-1
